P-Vector,0.9444444444444444,0.9444444444444444,1.0,1.0,0.9444444444444444,0.4444444444444444,0.7777777777777778,0.4444444444444444,0.16666666666666666,0.16666666666666666,0.7222222222222222,0.3333333333333333,0.9444444444444444,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,1.0,1.0,0.9444444444444444,
scifi,cosine_char32017-02-10.txt,cosine_char42017-02-10.txt,cosine_char62017-02-10.txt,cosine_char82017-02-10.txt,CovTestcosine&char2017-02-10.txt,CovTestcosine&rarewords2017-02-10.txt,CovTestcosine&words2017-02-10.txt,CovTestinter&char2017-02-10.txt,CovTestinter&rarewords2017-02-10.txt,CovTestinter&words2017-02-10.txt,CovTestmanh&char2017-02-10.txt,CovTestmanh&rarewords2017-02-10.txt,CovTestmanh&words2017-02-10.txt,CovTestWEKA&char2017-02-10.txt,CovTestWEKA&rarewords2017-02-10.txt,CovTestWEKA&Words2017-02-10.txt,inter_Char32017-02-10.txt,inter_Char42017-02-10.txt,inter_Char62017-02-10.txt,inter_Char82017-02-10.txt,manh_Char32017-02-10.txt,manh_Char42017-02-10.txt,manh_Char62017-02-10.txt,manh_Char82017-02-10.txt
cosine_char32017-02-10.txt,1.0000000000000004,1.0000000000000004,NaN,NaN,-0.05882352941176473,0.21693045781865616,0.45374260648651504,0.21693045781865614,0.10846522890932807,0.10846522890932807,-0.1504142093990467,0.17149858514250885,1.0000000000000004,-0.17149858514250885,-0.1504142093990467,-0.17149858514250885,0.21693045781865614,0.21693045781865614,0.21693045781865614,0.21693045781865614,NaN,NaN,NaN,1.0000000000000004
cosine_char42017-02-10.txt,1.0000000000000004,1.0000000000000004,NaN,NaN,-0.05882352941176473,0.21693045781865616,0.45374260648651504,0.21693045781865614,0.10846522890932807,0.10846522890932807,-0.1504142093990467,0.17149858514250885,1.0000000000000004,-0.17149858514250885,-0.1504142093990467,-0.17149858514250885,0.21693045781865614,0.21693045781865614,0.21693045781865614,0.21693045781865614,NaN,NaN,NaN,1.0000000000000004
cosine_char62017-02-10.txt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cosine_char82017-02-10.txt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CovTestcosine&char2017-02-10.txt,-0.05882352941176473,-0.05882352941176473,NaN,NaN,1.0000000000000002,-0.2711630722733202,0.453742606486515,0.21693045781865614,0.10846522890932807,0.10846522890932807,-0.15041420939904668,0.17149858514250885,-0.05882352941176473,-0.17149858514250885,-0.15041420939904668,-0.17149858514250885,0.21693045781865614,0.21693045781865614,0.21693045781865614,0.21693045781865614,NaN,NaN,NaN,-0.05882352941176473
CovTestcosine&rarewords2017-02-10.txt,0.21693045781865616,0.21693045781865616,NaN,NaN,-0.2711630722733202,1.0000000000000002,-0.3286878675669583,-0.7999999999999999,-0.39999999999999997,-0.39999999999999997,0.5547001962252289,0.07905694150420946,0.21693045781865616,0.39528470752104744,0.5547001962252289,0.6324555320336759,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,NaN,NaN,NaN,0.21693045781865616
CovTestcosine&words2017-02-10.txt,0.45374260648651504,0.45374260648651504,NaN,NaN,0.453742606486515,-0.3286878675669583,0.9999999999999998,0.4780914437337574,0.2390457218668787,0.2390457218668787,-0.33149677206589795,0.09449111825230684,0.45374260648651504,-0.09449111825230687,-0.33149677206589795,-0.3779644730092273,0.4780914437337574,0.4780914437337574,0.4780914437337574,0.4780914437337574,NaN,NaN,NaN,0.45374260648651504
CovTestinter&char2017-02-10.txt,0.21693045781865614,0.21693045781865614,NaN,NaN,0.21693045781865614,-0.7999999999999999,0.4780914437337574,1.0000000000000004,0.5000000000000003,0.5000000000000003,-0.6933752452815367,0.07905694150420947,0.21693045781865614,-0.5533985905294664,-0.6933752452815367,-0.7905694150420949,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,NaN,NaN,NaN,0.21693045781865614
CovTestinter&rarewords2017-02-10.txt,0.10846522890932807,0.10846522890932807,NaN,NaN,0.10846522890932807,-0.39999999999999997,0.2390457218668787,0.5000000000000003,1.0000000000000004,1.0000000000000004,0.27735009811261446,0.6324555320336759,0.10846522890932807,0.31622776601683794,0.27735009811261446,-6.530723674265627E-18,0.5000000000000003,0.5000000000000003,0.5000000000000003,0.5000000000000003,NaN,NaN,NaN,0.10846522890932807
CovTestinter&words2017-02-10.txt,0.10846522890932807,0.10846522890932807,NaN,NaN,0.10846522890932807,-0.39999999999999997,0.2390457218668787,0.5000000000000003,1.0000000000000004,1.0000000000000004,0.27735009811261446,0.6324555320336759,0.10846522890932807,0.31622776601683794,0.27735009811261446,-6.530723674265627E-18,0.5000000000000003,0.5000000000000003,0.5000000000000003,0.5000000000000003,NaN,NaN,NaN,0.10846522890932807
CovTestmanh&char2017-02-10.txt,-0.1504142093990467,-0.1504142093990467,NaN,NaN,-0.15041420939904668,0.5547001962252289,-0.33149677206589795,-0.6933752452815367,0.27735009811261446,0.27735009811261446,1.0000000000000002,0.4385290096535145,-0.1504142093990467,0.877058019307029,1.0000000000000002,0.877058019307029,-0.6933752452815367,-0.6933752452815367,-0.6933752452815367,-0.6933752452815367,NaN,NaN,NaN,-0.1504142093990467
CovTestmanh&rarewords2017-02-10.txt,0.17149858514250885,0.17149858514250885,NaN,NaN,0.17149858514250885,0.07905694150420946,0.09449111825230684,0.07905694150420947,0.6324555320336759,0.6324555320336759,0.4385290096535145,0.9999999999999998,0.17149858514250885,0.24999999999999994,0.4385290096535145,0.24999999999999994,0.07905694150420947,0.07905694150420947,0.07905694150420947,0.07905694150420947,NaN,NaN,NaN,0.17149858514250885
CovTestmanh&words2017-02-10.txt,1.0000000000000004,1.0000000000000004,NaN,NaN,-0.05882352941176473,0.21693045781865616,0.45374260648651504,0.21693045781865614,0.10846522890932807,0.10846522890932807,-0.1504142093990467,0.17149858514250885,1.0000000000000004,-0.17149858514250885,-0.1504142093990467,-0.17149858514250885,0.21693045781865614,0.21693045781865614,0.21693045781865614,0.21693045781865614,NaN,NaN,NaN,1.0000000000000004
CovTestWEKA&char2017-02-10.txt,-0.17149858514250885,-0.17149858514250885,NaN,NaN,-0.17149858514250885,0.39528470752104744,-0.09449111825230687,-0.5533985905294664,0.31622776601683794,0.31622776601683794,0.877058019307029,0.24999999999999994,-0.17149858514250885,1.0000000000000004,0.877058019307029,0.7500000000000007,-0.5533985905294664,-0.5533985905294664,-0.5533985905294664,-0.5533985905294664,NaN,NaN,NaN,-0.17149858514250885
CovTestWEKA&rarewords2017-02-10.txt,-0.1504142093990467,-0.1504142093990467,NaN,NaN,-0.15041420939904668,0.5547001962252289,-0.33149677206589795,-0.6933752452815367,0.27735009811261446,0.27735009811261446,1.0000000000000002,0.4385290096535145,-0.1504142093990467,0.877058019307029,1.0000000000000002,0.877058019307029,-0.6933752452815367,-0.6933752452815367,-0.6933752452815367,-0.6933752452815367,NaN,NaN,NaN,-0.1504142093990467
CovTestWEKA&Words2017-02-10.txt,-0.17149858514250885,-0.17149858514250885,NaN,NaN,-0.17149858514250885,0.6324555320336759,-0.3779644730092273,-0.7905694150420949,-6.530723674265627E-18,-6.530723674265627E-18,0.877058019307029,0.24999999999999994,-0.17149858514250885,0.7500000000000007,0.877058019307029,1.0000000000000004,-0.7905694150420949,-0.7905694150420949,-0.7905694150420949,-0.7905694150420949,NaN,NaN,NaN,-0.17149858514250885
inter_Char32017-02-10.txt,0.21693045781865614,0.21693045781865614,NaN,NaN,0.21693045781865614,-0.7999999999999999,0.4780914437337574,1.0000000000000004,0.5000000000000003,0.5000000000000003,-0.6933752452815367,0.07905694150420947,0.21693045781865614,-0.5533985905294664,-0.6933752452815367,-0.7905694150420949,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,NaN,NaN,NaN,0.21693045781865614
inter_Char42017-02-10.txt,0.21693045781865614,0.21693045781865614,NaN,NaN,0.21693045781865614,-0.7999999999999999,0.4780914437337574,1.0000000000000004,0.5000000000000003,0.5000000000000003,-0.6933752452815367,0.07905694150420947,0.21693045781865614,-0.5533985905294664,-0.6933752452815367,-0.7905694150420949,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,NaN,NaN,NaN,0.21693045781865614
inter_Char62017-02-10.txt,0.21693045781865614,0.21693045781865614,NaN,NaN,0.21693045781865614,-0.7999999999999999,0.4780914437337574,1.0000000000000004,0.5000000000000003,0.5000000000000003,-0.6933752452815367,0.07905694150420947,0.21693045781865614,-0.5533985905294664,-0.6933752452815367,-0.7905694150420949,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,NaN,NaN,NaN,0.21693045781865614
inter_Char82017-02-10.txt,0.21693045781865614,0.21693045781865614,NaN,NaN,0.21693045781865614,-0.7999999999999999,0.4780914437337574,1.0000000000000004,0.5000000000000003,0.5000000000000003,-0.6933752452815367,0.07905694150420947,0.21693045781865614,-0.5533985905294664,-0.6933752452815367,-0.7905694150420949,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,NaN,NaN,NaN,0.21693045781865614
manh_Char32017-02-10.txt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
manh_Char42017-02-10.txt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
manh_Char62017-02-10.txt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
manh_Char82017-02-10.txt,1.0000000000000004,1.0000000000000004,NaN,NaN,-0.05882352941176473,0.21693045781865616,0.45374260648651504,0.21693045781865614,0.10846522890932807,0.10846522890932807,-0.1504142093990467,0.17149858514250885,1.0000000000000004,-0.17149858514250885,-0.1504142093990467,-0.17149858514250885,0.21693045781865614,0.21693045781865614,0.21693045781865614,0.21693045781865614,NaN,NaN,NaN,1.0000000000000004
